order_id,order_date,customer_id,product_id,quantity,discount_pct,payment_method,delivery_days,returned_flag,customer_rating,customer_city,customer_age,customer_segment,product_category,product_name,unit_price,gross_revenue,net_revenue
50109,2024-10-10,1021,2007,5.0,0.0,Cash,4.0,0,4.0,tanta,33,Regular,Groceries,Olive Oil 7,2727.69,13638.45,13638.45
50083,2024-12-31,1061,2014,3.0,5.0,card,8.0,0,2.0,Ismailia,24,Regular,  Groceries ,Olive Oil 14,2648.26,7944.780000000001,7547.541
50268,2024-10-20,1013,2017,4.0,0.0,Cash,8.0,0,,ZAGAZIG,44,New,Groceries,Pasta 17,1437.71,5750.84,5750.84
50070,2024-10-23,1075,2039,2.0,10.0,Card,6.0,0,1.0,ZAGAZIG,46,New,Electronics,Wireless Mouse 39,154.27,308.54,277.68600000000004
51729,2024-11-21,1002,2027,1.0,5.0,BANK TRANSFER,8.0,0,,SUEZ,24,VIP,sports,Jump Rope 27,3197.17,3197.17,3037.3115
51047,2025-01-08,1154,2033,1.0,0.0,CARD,4.0,0,5.0,  Alexandria ,53,VIP,Electronics,Keyboard 33,801.02,801.02,801.02
51128,2025-02-27,1158,2025,4.0,0.0,Cash,6.0,0,4.0,Tanta,31,Regular,groceries,Tea 25,2684.59,10738.36,10738.36
50242,2024-09-06,1133,2007,5.0,,  Cash ,6.0,0,4.0,Cairo,23,New,groceries,Olive Oil 7,2727.69,13638.45,13638.45
51341,2025-02-27,1019,2026,2.0,0.0,Card,1.0,0,4.0,Suez,32,New,Beauty,Perfume 26,376.29,752.58,752.58
50395,2024-12-24,1099,2006,2.0,0.0,card,3.0,0,5.0,Zagazig,20,VIP,electronics,Keyboard 6,414.39,828.78,828.78
51044,2025-02-06,1081,2045,2.0,10.0,Cash,2.0,0,2.0,  Ismailia ,52,New,Beauty,Body Lotion 45,2724.13,5448.26,4903.434
50317,2024-10-01,1045,2038,2.0,5.0,  card ,8.0,0,5.0,Cairo,49,New,Beauty,Body Lotion 38,2113.81,4227.62,4016.2389999999996
51119,2024-10-01,1090,2042,1.0,15.0,Card,6.0,0,4.0,Suez,43,New,Sports,Running Socks 42,1954.72,1954.72,1661.512
50814,2024-11-05,1020,2013,2.0,0.0,Cash,1.0,0,,  Mansoura ,59,New,fashion,T-Shirt 13,1475.64,2951.28,2951.28
51434,2025-02-13,1043,2012,5.0,20.0,card,3.0,0,5.0,Zagazig,48,Regular,Beauty,Face Wash 12,78.88,394.4,315.52
51131,2024-12-26,1064,2015,4.0,,Cash,4.0,1,,Ismailia,45,Regular,Home,Lamp 15,973.33,3893.32,3893.32
51098,2024-09-14,1090,2017,5.0,30.0,Card,1.0,1,4.0,SUEZ,43,New,Groceries,Pasta 17,1437.71,7188.55,5031.985
51097,2024-12-19,1108,2004,1.0,0.0,CARD,0.0,0,4.0,Zagazig,42,Regular,Electronics,Keyboard 4,2308.12,2308.12,2308.12
50307,2025-01-17,1132,2041,4.0,5.0,  Wallet ,4.0,0,3.0,Tanta,46,Regular,  home ,Storage Box 41,203.24,812.96,772.312
50483,2024-10-17,1073,2022,3.0,5.0,Wallet,0.0,0,4.0,  Mansoura ,26,Regular,Groceries,Pasta 22,3190.63,9571.89,9093.295499999998
50297,2024-09-08,1018,2006,4.0,0.0,Card,5.0,0,5.0,Giza,23,VIP,  Electronics ,Keyboard 6,414.39,1657.56,1657.56
50736,2025-02-28,1096,2005,3.0,20.0,Cash,5.0,1,5.0,Alexandria,38,Regular,  Groceries ,Rice 5,3045.78,9137.34,7309.872
50403,2024-09-09,1035,2028,4.0,,  bank transfer ,3.0,0,,Ismailia,49,Regular,Home,Kitchen Knife 28,2143.56,8574.24,8574.24
50464,2025-01-09,1118,2037,5.0,5.0,Wallet,2.0,0,2.0,Giza,36,Regular,Groceries,Olive Oil 37,2917.62,14588.099999999999,13858.694999999998
51534,2024-10-13,1175,2042,2.0,,CARD,3.0,1,,  zagazig ,59,Regular,  Sports ,Running Socks 42,1954.72,3909.44,3909.44
51580,2025-01-19,1109,2032,1.0,15.0,CARD,0.0,0,5.0,mansoura,41,Regular,  electronics ,Power Bank 32,131.64,131.64,111.89399999999999
50754,2024-09-21,1161,2016,1.0,0.0,Card,7.0,1,4.0,Ismailia,45,New,Groceries,Rice 16,1489.01,1489.01,1489.01
50180,2024-11-24,1172,2045,1.0,5.0,Card,8.0,0,,  CAIRO ,19,New,  Beauty ,Body Lotion 45,2724.13,2724.13,2587.9235
51444,2024-09-30,1118,2040,5.0,0.0,Cash,7.0,0,3.0,  Giza ,36,Regular,groceries,Coffee 40,57.16,285.79999999999995,285.79999999999995
51060,2025-01-03,1009,2020,5.0,0.0,Cash,3.0,0,2.0,  GIZA ,28,Regular,Fashion,Jacket 20,2508.89,12544.449999999999,12544.449999999999
50842,2024-09-18,1070,2013,1.0,10.0,Card,7.0,0,3.0,Mansoura,19,Regular,Fashion,T-Shirt 13,1475.64,1475.64,1328.076
51269,2024-12-02,1050,2013,3.0,20.0,Cash,8.0,1,5.0,Suez,25,New,  Fashion ,T-Shirt 13,1475.64,4426.92,3541.536
50952,2025-01-29,1067,2035,2.0,5.0,Card,2.0,0,5.0,Ismailia,50,Regular,Sports,Jump Rope 35,2494.59,4989.18,4739.7210000000005
50289,2024-09-02,1004,2038,1.0,5.0,  Card ,7.0,0,5.0,Mansoura,47,New,Beauty,Body Lotion 38,2113.81,2113.81,2008.1194999999998
